type,nsamples,acc_suc,acc,tpr,fpr,tp,ap,fb,an,tprs,fprs,auc
all,5764,0.4344205412907703,0.9990458015267175,1.0,0.0019083969465648854,5764,5764,11,5764,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00017349063150589867, 0.00017349063150589867, 0.00017349063150589867, 0.00017349063150589867, 0.00017349063150589867, 0.00017349063150589867, 0.00017349063150589867, 0.00017349063150589867, 0.00017349063150589867, 0.00017349063150589867, 0.6452116585704372, 0.645558639833449, 1.0]","[0.0, 0.00017349063150589867, 0.14295628036086053, 0.1433032616238723, 0.21877168632893823, 0.21911866759195003, 0.29528105482303957, 0.29562803608605137, 0.3140180430256766, 0.3143650242886884, 0.6740111034004164, 0.6740111034004164, 0.6877168632893824, 0.6880638445523942, 0.7461832061068703, 0.7465301873698821, 0.7838306731436503, 0.7841776544066621, 0.9396252602359473, 0.9399722414989591, 1.0, 1.0, 1.0, 1.0]",0.9999434439804651
success,3260,0,0.9992331288343558,1.0,0.0015337423312883436,3260,3260,5,3260,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.00030674846625766873, 0.6843558282208589, 0.6849693251533743, 0.7269938650306749, 0.7276073619631902, 0.9156441717791411, 0.9162576687116565, 1.0, 1.0]",1.0
fail,2504,0,0.9988019169329073,1.0,0.0023961661341853034,2504,2504,6,2504,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00039936102236421724, 0.00039936102236421724, 0.00039936102236421724, 0.00039936102236421724, 0.7048722044728435, 0.7056709265175719, 1.0]","[0.0, 0.00039936102236421724, 0.2523961661341853, 0.2531948881789137, 0.3426517571884984, 0.34345047923322686, 0.7615814696485623, 0.7615814696485623, 0.7751597444089456, 0.7759584664536742, 1.0, 1.0, 1.0, 1.0]",0.9999047849319682
