type,nsamples,acc_suc,acc,tpr,fpr,tp,ap,fb,an,tprs,fprs,auc
all,5764,0.4998265093684941,0.9990458015267175,1.0,0.0019083969465648854,5764,5764,11,5764,"[0.0, 0.0, 0.0, 0.00017349063150589867, 0.00017349063150589867, 0.00017349063150589867, 0.00017349063150589867, 0.00017349063150589867, 0.00017349063150589867, 0.00017349063150589867, 0.00017349063150589867, 0.00017349063150589867, 0.00017349063150589867, 0.00034698126301179735, 0.00034698126301179735, 0.000520471894517696, 0.000520471894517696, 0.0006939625260235947, 0.0006939625260235947, 0.001040943789035392, 0.001040943789035392, 0.0012144344205412907, 0.0012144344205412907, 0.6452116585704372, 0.645558639833449, 1.0]","[0.0, 0.00017349063150589867, 0.3162734212352533, 0.3162734212352533, 0.3702290076335878, 0.3705759888965996, 0.6164122137404581, 0.6167591950034698, 0.7081887578070785, 0.7085357390700903, 0.7437543372657877, 0.7441013185287995, 0.9951422623178349, 0.9951422623178349, 0.9968771686328938, 0.9968771686328938, 0.9975711311589174, 0.9975711311589174, 0.9989590562109646, 0.9989590562109646, 0.9994795281054824, 0.9994795281054824, 1.0, 1.0, 1.0, 1.0]",0.9998791224191312
success,2883,0,0.9991328477280611,1.0,0.001734304543877905,2883,2883,5,2883,"[0.0, 0.0, 0.0, 0.000346860908775581, 0.000346860908775581, 0.000693721817551162, 0.000693721817551162, 1.0]","[0.0, 0.000346860908775581, 0.991675338189386, 0.991675338189386, 0.9951439472771418, 0.9951439472771418, 1.0, 1.0]",0.9999954281253787
fail,2881,0,0.998958694897605,1.0,0.0020826102047900035,2881,2881,6,2881,"[0.0, 0.0, 0.0, 0.0003471017007983339, 0.0003471017007983339, 0.0003471017007983339, 0.0003471017007983339, 0.0006942034015966678, 0.0006942034015966678, 0.6907323845886845, 0.6914265879902811, 1.0]","[0.0, 0.0003471017007983339, 0.2846233946546338, 0.2846233946546338, 0.32488719194724053, 0.32558139534883723, 0.9996528982992017, 0.9996528982992017, 1.0, 1.0, 1.0, 1.0]",0.9997515710839826
