type,nsamples,acc_suc,acc,tpr,fpr,tp,ap,fb,an,tprs,fprs,auc
all,9753,0.412898595304009,0.9991797395673127,1.0,0.0016405208653747566,9753,9753,16,9753,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.1703065723367169), np.float64(0.17051163744488876), np.float64(0.34943094432482313), np.float64(0.349636009432995), np.float64(0.455142007587409), np.float64(0.45534707269558083), np.float64(0.7547421306264739), np.float64(0.7549471957346457), np.float64(0.8425099969240234), np.float64(0.8427150620321953), np.float64(1.0)]","[np.float64(0.0), np.float64(0.00010253255408592229), np.float64(0.16292422844253052), np.float64(0.16312929355070235), np.float64(0.275710037937045), np.float64(0.2759151030452169), np.float64(0.3577360812057828), np.float64(0.3579411463139547), np.float64(0.5116374448887522), np.float64(0.511842509996924), np.float64(0.5942786834820055), np.float64(0.5944837485901774), np.float64(0.6064800574182303), np.float64(0.6066851225264022), np.float64(0.6458525581872244), np.float64(0.6460576232953963), np.float64(0.6736388803445094), np.float64(0.6738439454526812), np.float64(0.676817389521173), np.float64(0.6770224546293448), np.float64(0.8066236029939505), np.float64(0.8068286681021224), np.float64(0.8954167948323593), np.float64(0.8956218599405311), np.float64(0.9013636829693428), np.float64(0.9015687480775146), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]",1.0
success,5726,0,0.9986028641285365,1.0,0.0027942717429269995,5726,5726,16,5726,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.0), np.float64(0.00017464198393293747), np.float64(0.14565141460006986), np.float64(0.14600069856793574), np.float64(0.5738735592036326), np.float64(0.5742228431714984), np.float64(0.6047851903597625), np.float64(0.6051344743276283), np.float64(0.8545232273838631), np.float64(0.8548725113517289), np.float64(0.8623821166608453), np.float64(0.8627314006287111), np.float64(1.0), np.float64(1.0)]",1.0
fail,4027,0,1.0,1.0,0.0,4027,4027,0,4027,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.7690588527439781), np.float64(0.7695555003724858), np.float64(1.0)]","[np.float64(0.0), np.float64(0.00024832381425378696), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]",1.0
