type,nsamples,acc_suc,acc,tpr,fpr,tp,ap,fb,an,tprs,fprs,auc
all,9753,0.7274684712396186,0.9991797395673127,1.0,0.0016405208653747566,9753,9753,16,9753,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.1703065723367169), np.float64(0.17051163744488876), np.float64(0.34943094432482313), np.float64(0.349636009432995), np.float64(0.455142007587409), np.float64(0.45534707269558083), np.float64(0.7547421306264739), np.float64(0.7549471957346457), np.float64(0.8425099969240234), np.float64(0.8427150620321953), np.float64(1.0)]","[np.float64(0.0), np.float64(0.00010253255408592229), np.float64(0.022352096790731055), np.float64(0.022557161898902903), np.float64(0.08776786629754947), np.float64(0.08797293140572132), np.float64(0.11032502819645237), np.float64(0.11053009330462422), np.float64(0.2719163334358659), np.float64(0.2721213985440377), np.float64(0.28145186096585667), np.float64(0.2816569260740285), np.float64(0.30452168563518917), np.float64(0.30472675074336103), np.float64(0.3193889059776479), np.float64(0.3195939710858198), np.float64(0.32892443350763867), np.float64(0.32912949861581053), np.float64(0.3737311596431867), np.float64(0.37393622475135857), np.float64(0.41956321131959395), np.float64(0.4197682764277658), np.float64(0.48672203424587307), np.float64(0.48692709935404493), np.float64(0.5754126935301959), np.float64(0.5756177586383677), np.float64(0.5977647903209269), np.float64(0.5979698554290988), np.float64(0.725520352711986), np.float64(0.7257254178201579), np.float64(0.7707372090638778), np.float64(0.7709422741720496), np.float64(0.7842715062032195), np.float64(0.7844765713113914), np.float64(0.8729621654875422), np.float64(0.8731672305957141), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]",1.0
success,2658,0,0.9977426636568849,1.0,0.004514672686230248,2658,2658,12,2658,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.0), np.float64(0.0003762227238525207), np.float64(1.0), np.float64(1.0)]",1.0
fail,7095,0,0.9997181113460183,1.0,0.0005637773079633545,7095,7095,4,7095,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.4062015503875969), np.float64(0.4064834390415786), np.float64(0.8076109936575053), np.float64(0.8078928823114869), np.float64(1.0)]","[np.float64(0.0), np.float64(0.00014094432699083862), np.float64(0.2505990133897111), np.float64(0.25088090204369273), np.float64(0.34940098661028895), np.float64(0.3496828752642706), np.float64(0.4590556730091614), np.float64(0.45933756166314305), np.float64(0.5465821000704721), np.float64(0.5468639887244539), np.float64(0.7017618040873855), np.float64(0.7020436927413671), np.float64(0.8582100070472164), np.float64(0.858491895701198), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]",1.0
