type,nsamples,acc_suc,acc,tpr,fpr,tp,ap,fb,an,tprs,fprs,auc
all,9753,0.4225366553880857,0.9991797395673127,1.0,0.0016405208653747566,9753,9753,16,9753,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.1703065723367169), np.float64(0.17051163744488876), np.float64(0.34943094432482313), np.float64(0.349636009432995), np.float64(0.455142007587409), np.float64(0.45534707269558083), np.float64(0.7547421306264739), np.float64(0.7549471957346457), np.float64(0.8425099969240234), np.float64(0.8427150620321953), np.float64(1.0)]","[np.float64(0.0), np.float64(0.00010253255408592229), np.float64(0.28391264226391877), np.float64(0.28411770737209063), np.float64(0.33661437506408287), np.float64(0.3368194401722547), np.float64(0.33979288424074644), np.float64(0.3399979493489183), np.float64(0.4206910694145391), np.float64(0.42089613452271096), np.float64(0.4229467856044294), np.float64(0.42315185071260125), np.float64(0.5057930893058546), np.float64(0.5059981544140264), np.float64(0.5574694965651594), np.float64(0.5576745616733313), np.float64(0.5694658053932123), np.float64(0.5696708705013842), np.float64(0.594996411360607), np.float64(0.5952014764687789), np.float64(0.6590792576643084), np.float64(0.6592843227724803), np.float64(0.6988618886496463), np.float64(0.6990669537578181), np.float64(0.7938070337332103), np.float64(0.7940120988413821), np.float64(0.9014662155234286), np.float64(0.9016712806316005), np.float64(0.9429918999282272), np.float64(0.943196965036399), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]",1.0
success,5632,0,0.9985795454545454,1.0,0.002840909090909091,5632,5632,16,5632,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.0), np.float64(0.0001775568181818182), np.float64(0.22620738636363635), np.float64(0.2265625), np.float64(0.2704190340909091), np.float64(0.2707741477272727), np.float64(0.4861505681818182), np.float64(0.4865056818181818), np.float64(0.5127840909090909), np.float64(0.5131392045454546), np.float64(0.5768821022727273), np.float64(0.5772372159090909), np.float64(0.6198508522727273), np.float64(0.6202059659090909), np.float64(0.8560014204545454), np.float64(0.8563565340909091), np.float64(0.9135298295454546), np.float64(0.9138849431818182), np.float64(1.0), np.float64(1.0)]",1.0
fail,4121,0,1.0,1.0,0.0,4121,4121,0,4121,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.7682601310361563), np.float64(0.7687454501334627), np.float64(1.0)]","[np.float64(0.0), np.float64(0.0002426595486532395), np.float64(0.8932297985925746), np.float64(0.8937151176898811), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]",1.0
